English,Ao,label
No longer live in defeat,tamakok nung joko malitsu,NOT
No more bloodshed,azu tokshi ba ya malitsu,NOT
Narola can sing well,narolai ken junga atener,NOT
"Do not lie, do not steal, do not commit adultery, do not drink alcohol and equal to all","teyazu mejembitsu, maoyatsu, nuktapanta masutsu, yi majemtsu ajak den kesa aletsu.",NOT
Why do we not believe in animisu?,kechiba asenoki tanubo all mamanger,NOT
"God said, “Let the waters below the sky collect together in one place so that the land may appear.” And so it was.","tsüngremi ashi, “anüng kübok aliba tzü ajak tesem kati nungtenang, aser ali takong adokang,” aser yamaji liasü.",NOT
"but you must not eat from the tree of the knowledge of good and evil, because the day you eat from it you are certain to die.”",saka tajung o tamajung metetba süngdong nungi nai machitsüla; kechiaser koba anogo nung nai aji chidir na asütsü.”,NOT
"Then the Lord God said, “It's not good for Adam to be alone. I will make someone to help him, someone that's like him.”","aser kibuba tsüngremi ashi, “nisungji kija alitsü majung; ni pa asoshi tetemsü teyarir ka yangludi.”",NOT
"Eve replied to the serpent, “We can eat from the trees in the garden, but not the fruit from the tree in the middle of the garden.","tetsürlai langzü, “atsüki nung aliba süngjang ajak onoki chitet,",NOT
“Who told you that you were naked?” asked the Lord God. “Did you eat fruit from the tree I ordered you not to?”,"kibuba tsüngremi ashi, “na mangsa ta shibai ashi? ni ne dang techi ta ashiba süngjangto nai achi asü?”",NOT
Sometime later Cain brought some of the produce he'd grown as an offering to the Lord.,mapang tatsüka lir külen kaini ali nung atangba nungi kibuba dangi tenla aben.,OFF
"Abel also brought an offering: the firstborn lambs of his flock, selecting the very best parts to offer. The Lord was pleased with Abel and his offering,","abel-ia san telok nung mezüng mepuba nungi aser item temotem kibuba dangi tenla aben. kibuba i abel aser pa tenla agizük,",OFF
"but he wasn't pleased with Cain and his offering, which made Cain very angry and he frowned in annoyance.","saka kain aser pa tenla pai magizük. aser kain kanga ain adok, aser pa tejak shimak",OFF
"Adam slept with his wife again, and she had a son and named him Seth, explaining that, “God has given me another child to replace Abel, the one Cain killed.”","ano adami pei kinungtsü den tanaben medem, aser lai jabaso ka aso, aser pa tenüng set aja, kechiaser lai ashi, “tsüngremi kü nem abel melena metsü tanga ka agütsüogo, kechiaser kaini pa tepset.”",NOT
"Adam lived another 800 years after Seth was born, and had other sons and daughters.","set sor külen adam arishi küm noklang ti liasü, aser jabaso jalatem jakzük",NOT
"Seth lived another 807 years after Enosh was born, and had other sons and daughters.","enos sor set küm noklang ti ser tenet liasü, aser pa dak nungi jabaso jalatem jakzük.",NOT
"Enosh lived another 815 years after Kenan was born, and had other sons and daughters.","kenan sor küm noklang ti ser terpungu ali, aser pa dak jala jabasotem jakzük.",NOT
"Kenan lived another 840 years after Mehalalel was born, and had other sons and daughters.",iba sülen pa küm noklang ti ser lir ali; aser pa dak nungi jala jabasotem jakzük.,NOT
"After Jared was born, Mahalalel lived another 830 years and had other sons and daughters.","yared sor mahalalel küm noklang ti ser semer ali, aser pa nungi jabaso aser jala jakzük.",NOT
"He had a close relationship with God. After Methuselah was born, Enoch lived another 300 years and had other sons and daughters.","iba sülen enok küm noklang asem ali, aser pai tsüngrem den jaja aser jala jabasotem jakzük.",NOT
"After Lamech was born, Methuselah lived another 782 years and had other sons and daughters.","lamek sor methusela küm noklang tenet ser tir ana ali, aser jala jabasotem jakzük.",NOT
"After Noah was born, Lamech lived another 595 years and had other sons and daughters.","iba sülen lamek küm noklang pungu ser tukur pungu ali, aser jala jabasotem jakzük.",NOT
"Noah was 500 before he had Shem, Ham, and Japheth.","noa küm noklang pungu lir jabaso asem: sem, ham aser yafet jakzük.",NOT
"Then the Lord said, “My life-giving Spirit will not remain in these people forever, because they are only mortal. The time they have left will be 120 years.”","idangji kibuba i ashi, “kü nelai nisung den teti rara-a malitsü, kechiaser parnok shi nung dang. tang nungi parnok arishi küm noklang ka ser metsü dang alitsü.”",NOT
"So the Lord said, “I'm going to wipe out these people I created from the earth, and not only them but also the animals, the creatures that run along the ground, and the birds, because I'm sorry I made them.”","anungji pai ashi, “meimchir shiba ni yanglu, parnok den ayazüba shirurutem aser ozütem ajak ni samatsütsü, kechiaser parnok yangluba atema ni jashir.”",NOT
"Noah had three sons: Shem, Ham, and Japheth.","noa nungi jabaso asem jakzük: shem, ham aser yafet.",NOT
"Make a roof for the ark, leaving a cubit-wide opening between the roof and the top of the sides. Put a door in the side of the ark, and construct three decks inside.","rong nungji kichiba ka yangluang, aji temalen süklep ka tashi yangluang, aser nai rong kishiji iba temalenji yangluang, aser nai aji teküpoklen, tanabuba aser tasembuba taktang keta yangluang.",OFF
Take all kinds of food with you too. Store it so you and the animals will have enough to eat.”,ano nai tachitsü asoshi chiyungtsü tapu ajak bendena yuang aser aji na aser parnok asoshi chiyungtsü alitsü.”,OFF
Noah did exactly what God ordered him to do.,aser tsüngremi melaba ajak noai inyak.,NOT
Noah did exactly what the Lord ordered him to do.,kibuba i pa dang melaba ama noai ajak inyak.,NOT
Noah was 600 when the flood waters covered the earth.,alima nung tzümetsüng arudang noa küm noklang trok tain liasü.,NOT
"Noah went into the ark, taking with him his wife and his sons and their wives, because of the flood.","tzümetsüng nungi jenbutsü asoshi noa aser tebutsü, par jabaso aser parnok kinungtsürtem rongi ai.",NOT
"Noah was 600 when on the seventeenth day of the second month all the subterranean waters burst through the earth, and heavy rain poured down from the sky.","noa arishi küm noklang trokbuba ita tanabuba anogo ter-tenetbuba nung tzüpokdak tulutem ajak rakpok, aser anüng kichiba lapok.",NOT
Finally the water grew so deep that even the highest mountains were covered—all that could be seen was sky.,tzüji kanga tali aküm aser anüng kübok tenem talangtem ajak metsüngbang.,HOF
"The subterranean waters were closed off, and the heavy rainfall was stopped.",tzüpokdak tarok ajak aser anüng kichibatem shibanga tzünglu sot.,OFF
He waited another seven days and sent the dove out from the ark again.,noai ano anogo tenetnü ata-a liasü aser pai posüji tanaben yok.,NOT
"Again he waited another seven days and sent the dove out again, but this time it didn't return to him.",ano noai anogo tenet lir posüjisa yok aser aji joko pa dangi meyipa maru.,NOT
"Noah built an altar, and sacrificed some of the clean animals and birds as a burnt offering.",noai kibuba atema tenladak ka yanglu aser tekülem asoshi temeshi ozü shia nungi aser shiruru shia nungi ka ka agiteta item ajakji tarongba tenladak sabang nung arong.,OFF
But do not eat meat with the lifeblood still in it.,"saka shi den iba zü koba nung taküm lir, iba ya nenoki techi.",NOT
"Noah's sons who left the ark were Shem, Ham, and Japheth. (Ham was the father of the Canaanites.)","noa chirtem shir rong nungi adok parnokji: shem, ham aser yafet. hamji kanan tebu liasü.",NOT
"Noah started to cultivate the ground as a farmer, and he planted a vineyard.",noa aluyimer mezüngbuba küma tsükmenatzü lu ayimtsü tenzük;,NOT
Noah lived for another 350 years after the flood.,"tzümetsüng süir külen noa küm noklang asem ser tenem liasü,",NOT
"Noah lived a total of 950 years, and then he died.",pa arishi küm noklang tuku ser tenem liasü aser pa asü.,NOT
"They said to one another, “Come on, let's make some bricks and bake them with fire.” (They used brick instead of stone, and tar instead of cement).","aser parnok kati ka dang ashi, “arung asenoki ajongli menoka lungru merang ama rudi.” parnoki lung melena lungru, lishi melen süngnaktzü agi.",NOT
"The Lord said, “Look! These people are united and they all speak one language. If this is what they can do now when they're just getting started, nothing will be impossible for them when they all put their minds to it!","aser kibuba i ashi, “ajiang parnok kin ka aser oshi ka dang jembir. parnoki kechi mapa inyaktsü ali aji tangang tetenzüker, aser parnok madang kecha tamakoktsü malitsü.",NOT
Shem lived another 500 years after Arphaxad was born and had other sons and daughters.,iba sülen pa küm noklang pungu ali aser jabaso jalatem jakzük.,NOT
Arphaxad lived another 403 years after Shelah was born and had other sons and daughters.,iba sülen arpakshad küm noklang pezü ser asem liasü aser jabaso jalatem jakzük.,NOT
Shelah lived another 403 years after Eber was born and had other sons and daughters.,"eber sor shela küm noklang pezü ser asem liasü, aser jabaso jalatem jakzük.",NOT
Eber lived another 430 years after Peleg was born and had other sons and daughters.,"peleg sor eber küm noklang pezü ser semer liasü, aser jabaso jalatem jakzük.",NOT
Peleg lived another 209 years after Reu was born and had other sons and daughters.,"reu sor peleg küm noklang ana ser tuku liasü, aser jabaso jalatem jakzük.",NOT
Reu lived another 207 years after Serug was born and had other sons and daughters.,"serug sor reu küm noklang ana ser tenet liasü, aser jabaso jalatem jakzük.",NOT
Serug lived another 200 years after Nahor was born and had other sons and daughters.,"nahor sor serug küm noklang ana liasü, aser jabaso jalatem jakzük.",NOT
Nahor lived another 119 years after Terah was born and had other sons and daughters.,"tera sor nahor küm noklang ka ser tertuku liasü, aser jabaso jalatem jakzük.",NOT
"When the Egyptians see you, they'll say, ‘She's his wife,’ and they'll kill me but not you!","aser ijip nungeri na angudang ashitsü, ‘ibai pa kinungtsü,’ aser parnoki ni tepsettsü, saka nabo taküm lidaktsütsü.",NOT
Pharaoh's officials also noticed and spoke positively about her to Pharaoh. So Sarai was taken to his palace to become one of his wives.,"kodang farao tamarenertemi la angu, la tobur ajungba indang farao dang ashi, aser la farao kidangi anir ao.",OFF
"(The people of Sodom were very wicked, committing terrible sins that offended the Lord.)",sodom nungerji kanga tamajung ashikülaker kibuba anema temenen tulu benshirtem liasü.,OFF
"They fought Chedorlaomer, king of Elam, Tidal, king of Goiim, Amraphel, king of Shinar, and Arioch, king of Ellasar—four kings on one side against five on the other.","elam chuba kedorlaomer, goiim chuba tidal, shinar chuba amrafel, elasar chuba, ariok; chuba pungu anema chuba pezüi apuso.",NOT
"that I refuse to take anything belonging to you, not a single thread or a sandal strap. Otherwise you might claim, ‘It was me who made Abram rich!’","ni ne rongsen angjang ka mesüra tsüngsem lisü kata mesüra tanga kecha magitsü; ashiko nai ashitsü, ‘ni abram takar kümdaktsü.’",NOT
"But Abram replied, “Lord God, what good is whatever you give me? I don't have any children, and the heir to all that I have is Eliezer of Damascus.”","saka abrami langzü, “oh tematiba kibuba , ni techir mali, aser kü ki senmangtsübaji damaska nunger eliezer lir; ajangla nai kü nem kechi agütsütsü?",HOF
"When vultures flew down on the carcasses, Abram frightened them off.","kodang shi achiba ozütem tasümangji bushia aru, abrami itemji aridok.",OFF
"Four generations later your descendants will come back here to live, because right now the sins of the Amorites have not reached their full extent.”","aso pezübuba nung parnok yangi meyipa arutsü, kechiaser amor nunger temenen kodang tali kümdir, idangji ang ni parnok merenshitsü.”",NOT
"“Listen, she's your slave!” Abram replied. “You can do whatever you want to her.” Sarai treated Hagar so badly that she ran away.","abrami langzü, “ne kilitsür ne ket nung lir, ne dang kechi ajung aji la dang inyakang,” aser sarai la dang meketmeseni sashia benshi nung hagar jena ao.",HOF
From now and for all generations to come every male among you who is eight days old must be circumcised. This includes not only your sons but also those born in your household or bought from foreigners.,"nenok tarutsü pututem nunga tebur shia sor anogo tinübuba nung, oda ne kidang asoba süshia aener nungi sen agi alizükba süshia, ne semchir mesüaka, parnok ajak mejeptokang.",NOT
"Now about Ishmael. I heard what you said, and I will also bless him. I will make sure he has a great many descendants. He will be the father of twelve princes, and I will make him into a great nation.",ishmael indang ne temepishibaji ni angashiogo. ni pa moatsütsü; ni pa tejang jenti atangba kümdaktsüdi. pa chuba terana tebudi akümtsü; aser ni pa agi kin tulu ka kümdaktsüdi.,NOT
"Then one said, “I promise you that I will come back to visit you about this time next year, and your wife Sarah will have a son.” Sarah was listening, hiding just inside the entrance to the tent behind him.","“sangküm kasa mapang nung ni ne dangi meyipa arutsü, aser nebutsü sarai jabaso ka asotsü.” sarai kiküm nungi aji angashi.",NOT
I'm going to see if these complaints that have reached me are completely true. I'll know if they're not.”,"tang ni lua parnok mapa atangji asü masü reprangdi, aser parnok taitsüba indang ni angashibaji shitak metettsü.”",NOT
"No, you can't do something like that! You can't kill the good with the wicked, otherwise you would be treating the good and the wicked in the same way. You can't do that! Isn't the Judge of all the earth going to do the right thing?”","atangji nai temeshipurji temenenpur den kodanga mesamatsütsü, kechiaser ibaji ne dak nungi talangka pila-a lir. temenenpur den külemi temeshipur samatsüra, temeshi purtemji temenenpur ama kümdaktsür, o bendangbai alima ajak nung ochi mebenshili ma?”",NOT
"“Since I've started, let me go on speaking to my Lord, even though I'm nothing but dust and ashes,” Abraham continued.","abrahami tanaben jembi, “ajiang, ni ama ali nisungi kibuba den ano jembitsü tasü aiter,",NOT
"Listen, I've got two virgin daughters. Let me bring them out to you, and you can do to them whatever you want, but please don't do anything to these men. It's my responsibility to look after them.”","reprangang, tebur memetetba kü jala tasüngtet ana lir, ni parnok nenok dangi anir adoktsüdi, nenoki kechi mulunger yamaji parnok dak benshiang; saka item nisungtem dak kecha tamajung teinyak, kechiaser parnok kü kilempoki aita lir.”",HOF
"“Please sir, not that!” Lot replied.","saka loti langzü, “oh aji oda nungma kü kiburtem.",NOT
"So they got their father drunk with wine that night. The older daughter went and slept with him, and he didn't notice when she lay down or when she got up.","paonungji parnoki tebu nem yi jemdaktsü aser tantsülai yia tebu den medem, saka tebui aji memetet, kechiaser pa yi agi meseper liasü.",NOT
